Date,RELIANCE,TCS,HDFCBANK,INFY,HINDUNILVR,ICICIBANK,BHARTIARTL,SBIN,LT,ITC
2016-02-16,201.635223,896.084473,223.787842,411.875,683.257629,166.900818,269.163635,141.165298,629.529968,132.458832
2016-02-17,206.413101,900.03949,224.121155,419.012085,691.211243,161.93454,272.791718,143.466934,640.050659,134.408707
2016-02-18,203.704559,915.979248,227.466125,428.763763,703.843872,166.518784,274.200317,144.234146,655.560791,136.918915
2016-02-19,204.625458,917.482239,227.431625,430.233093,704.013977,168.768463,278.340637,148.656815,656.045532,136.515518
2016-02-22,208.514908,915.99884,227.305161,430.004089,732.979248,168.471359,280.944366,148.882477,655.617798,134.408707
2016-02-23,205.773895,895.471191,223.006195,428.95459,711.882385,162.995697,274.285645,143.06076,644.441467,131.696762
2016-02-24,206.42395,874.488342,218.304932,429.507996,711.797729,158.751007,276.547882,141.075073,634.605042,128.917618
2016-02-25,204.57132,875.239929,216.707184,423.763916,716.944275,155.35527,275.352814,137.013397,619.5224,128.290039
2016-02-26,205.925568,874.310608,220.925705,427.904938,722.983826,156.883362,271.425903,140.714005,633.322021,130.41925
2016-02-29,209.457504,860.981384,223.420013,413.745178,706.395874,161.340286,269.334351,143.286423,613.563599,132.526031
2016-03-01,212.631912,900.474426,226.247681,429.546112,701.079163,173.989426,273.773499,146.264984,640.905945,145.839172
2016-03-02,217.008957,917.165771,231.546661,441.206024,722.430969,186.76593,278.59671,163.504471,648.860596,143.239288
2016-03-03,219.468307,938.64325,233.535217,446.282257,722.13324,185.068039,284.615143,164.948639,688.320129,142.61174
2016-03-04,218.070694,932.472656,234.615738,446.797455,722.005554,187.190384,281.072449,170.048248,680.394165,141.289398
2016-03-07,218.070694,932.472656,234.615738,446.797455,722.005554,187.190384,281.072449,170.048248,680.394165,141.289398
2016-03-08,222.534393,931.187317,233.14444,444.049469,702.865723,184.091782,282.993164,165.490173,677.115356,143.553085
2016-03-09,225.71962,932.353882,235.592758,449.793518,714.264526,183.667313,285.639557,165.535294,691.598999,143.396179
2016-03-10,219.229965,928.814087,234.776642,436.053528,712.478027,182.945694,287.090759,162.917786,676.373962,141.692841
2016-03-11,219.825836,935.518372,236.489304,436.244415,724.429993,181.544952,287.901794,162.556732,676.088989,144.023758
2016-03-14,220.96344,931.463989,236.224976,435.557373,729.151245,188.166641,290.889618,164.046021,675.262146,145.704681
2016-03-15,221.125931,921.53595,236.029541,432.961975,715.242798,187.912003,292.725067,167.250229,673.294739,141.872131
2016-03-16,221.396759,920.409241,236.891632,439.851044,718.092468,192.199081,288.968811,167.159958,674.691833,144.35994
2016-03-17,222.629593,930.297424,234.12149,443.400635,722.771179,193.345184,290.889618,168.197937,680.422668,145.077133
2016-03-18,225.083771,959.487,236.420364,455.480377,721.665222,195.425079,293.920197,172.620636,683.87262,145.570206
2016-03-21,227.296906,967.555786,240.374481,456.052917,748.29126,199.372589,301.9021,177.630005,700.323547,148.573502
2016-03-22,229.608688,978.175964,242.271103,454.163605,740.2099,198.311462,299.554413,178.261826,705.541016,144.853027
2016-03-23,225.522018,978.452515,241.236572,460.976288,743.144775,198.820801,305.786285,177.449493,708.53479,145.346085
2016-03-24,225.522018,978.452515,241.236572,460.976288,743.144775,198.820801,305.786285,177.449493,708.53479,145.346085
2016-03-25,225.522018,978.452515,241.236572,460.976288,743.144775,198.820801,305.786285,177.449493,708.53479,145.346085
