Date,RELIANCE,TCS,HDFCBANK,INFY,HINDUNILVR,ICICIBANK,BHARTIARTL,SBIN,LT,ITC
2016-02-16,207.583186,902.59086,225.753411,417.06565,690.615888,175.729766,277.358912,154.117491,660.265186,137.165488
2016-02-17,207.464017,901.661089,225.270612,420.977675,692.444723,167.367725,274.541738,144.279275,646.465707,135.282797
2016-02-18,209.901716,917.521761,227.879927,430.137752,706.480926,168.938254,275.822312,147.754248,669.987494,137.479231
2016-02-19,206.445609,920.389395,228.190264,432.885654,707.629322,171.018155,279.962632,149.198375,666.537695,137.210309
2016-02-22,209.815018,926.717636,228.971873,432.790224,736.679639,170.89083,285.895683,150.552277,666.166969,135.663814
2016-02-23,209.576691,917.581064,226.558021,432.236909,730.256868,169.277815,284.273665,148.927606,659.181825,133.55701
2016-02-24,207.702378,894.857935,221.362499,436.530662,718.730707,162.316533,277.913766,145.046471,644.355883,132.413991
2016-02-25,207.269045,881.232111,220.063593,431.51171,719.836572,160.448885,277.828472,142.699727,638.653522,130.12788
2016-02-26,207.745719,892.662984,223.22462,432.046005,725.323166,157.859639,277.316244,143.241263,637.228059,130.889917
2016-02-29,215.51382,884.79204,225.891347,431.435394,724.515121,166.306571,275.182024,147.934764,640.64937,135.215556
2016-03-01,213.444483,903.816699,226.845393,431.39723,705.927936,175.26284,275.139383,147.032179,643.785616,146.578788
2016-03-02,217.929866,921.575849,232.397263,444.06852,727.322318,187.954434,279.791844,165.354786,656.273556,149.671728
2016-03-03,220.584227,945.703433,234.489272,455.270467,728.258018,187.02058,285.938332,166.618439,690.658061,145.682271
2016-03-04,219.93418,941.352199,235.615774,452.274354,728.08786,190.501236,287.38965,171.357017,697.928627,144.225455
2016-03-07,219.93418,941.352199,235.615774,452.274354,728.08786,190.501236,287.38965,171.357017,697.928627,144.225455
2016-03-08,223.379451,936.21048,235.408865,454.373557,721.367786,186.723478,285.127351,168.739495,691.11439,145.234035
2016-03-09,226.196325,937.159485,236.765199,451.797265,717.879871,184.983161,286.706665,166.076854,695.676114,143.754778
2016-03-10,226.629727,933.382433,235.811153,443.839526,715.412847,185.789631,289.139585,166.7538,696.531449,144.247891
2016-03-11,223.086938,945.643881,236.972098,441.186973,729.831774,185.534959,289.224984,164.858329,685.41216,144.337543
2016-03-14,222.404376,948.471612,238.615824,440.538135,731.575632,189.142919,291.956697,165.535291,688.063736,146.130523
2016-03-15,222.718556,934.825661,237.569831,440.633453,728.853508,190.883284,294.090951,168.062556,683.045577,146.130538
2016-03-16,222.274333,922.367076,237.765231,440.824311,719.538564,193.048015,294.346957,167.791769,679.538775,144.965081
2016-03-17,227.209278,934.153805,238.857249,446.453964,727.322239,200.561133,300.237332,170.860579,687.122811,145.682274
2016-03-18,225.730182,961.128394,237.247968,457.617698,724.770186,196.486253,297.292212,173.29758,685.982465,146.489132
2016-03-21,228.217228,970.996844,240.776791,457.617739,751.140981,200.009296,303.054539,178.081301,702.832557,150.702699
2016-03-22,230.572819,982.882688,242.903304,455.709371,749.141927,199.160396,304.505728,178.938769,709.931783,148.282158
2016-03-23,229.400498,984.029375,242.087187,462.083082,746.334786,199.499956,308.518054,178.352085,712.212792,145.727101
2016-03-24,229.400498,984.029375,242.087187,462.083082,746.334786,199.499956,308.518054,178.352085,712.212792,145.727101
2016-03-25,229.400498,984.029375,242.087187,462.083082,746.334786,199.499956,308.518054,178.352085,712.212792,145.727101
2016-03-28,226.069819,995.598704,242.075682,472.120917,745.271333,198.65102,308.176578,178.93876,710.616148,147.833896
2016-03-29,228.326772,983.653599,243.569998,465.21288,741.230803,192.666013,305.40212,172.620658,693.423784,146.601206
2016-03-30,230.463246,990.79307,245.96084,461.815938,747.695817,202.895699,306.68263,178.983905,702.461837,147.587355
2016-03-31,231.394525,1008.591836,248.029889,469.411143,744.931204,204.890688,304.463065,179.390077,701.378296,149.044142
2016-04-01,229.269007,997.062158,247.455136,466.472252,744.25066,203.277715,298.956847,178.036178,711.813731,150.971644
2016-04-04,228.370612,984.068971,246.627519,476.319283,744.293137,204.636027,299.554382,178.2167,712.782898,149.268287
2016-04-05,228.414427,982.842774,247.570084,474.143699,751.013544,201.622291,295.798248,175.599192,704.086901,148.080467
2016-04-06,227.165439,984.464708,245.282682,468.685952,742.549256,193.557379,289.865206,167.430738,692.825062,147.430476
2016-04-07,229.641519,982.763889,244.776917,461.205304,744.208103,190.373868,287.090763,167.566118,689.945483,146.578789
2016-04-08,231.054872,978.412956,244.455073,449.411884,734.12753,189.991884,288.029854,166.031721,682.560887,144.539229
2016-04-11,229.093739,995.539352,246.926434,452.942262,738.253325,191.180357,298.786147,170.499536,693.338313,147.161508
2016-04-12,231.712258,998.703411,246.213735,456.052846,743.825277,196.019318,300.920318,171.718045,704.172551,145.973655
2016-04-13,234.440357,1006.61395,249.420731,456.072029,765.262053,207.310177,311.164454,174.922238,714.493692,149.133838
2016-04-14,234.440357,1006.61395,249.420731,456.072029,765.262053,207.310177,311.164454,174.922238,714.493692,149.133838
2016-04-15,234.440357,1006.61395,249.420731,456.072029,765.262053,207.310177,311.164454,174.922238,714.493692,149.133838
2016-04-18,233.761064,1009.97596,251.041445,483.914516,769.813144,207.097905,309.883879,172.846285,716.746132,151.666466
2016-04-19,233.761064,1009.97596,251.041445,483.914516,769.813144,207.097905,309.883879,172.846285,716.746132,151.666466
2016-04-20,234.286954,1002.619589,252.880594,475.727632,770.70638,203.405051,311.036324,170.273895,723.018426,151.644039
2016-04-21,230.518015,975.921075,254.06455,477.464336,771.472046,218.855698,306.469251,178.171595,727.038528,150.837174
2016-04-22,229.53196,963.264378,253.075941,468.876831,769.260236,218.176535,305.572844,181.872191,723.617295,148.439052
2016-04-25,228.863656,971.827151,252.880579,467.464738,756.245111,216.775794,310.737551,182.819952,728.521308,145.9064
2016-04-26,224.360648,986.244617,256.328956,473.094175,762.199707,216.223991,310.566827,181.781957,731.857101,147.183959
