Date,RELIANCE,TCS,HDFCBANK,INFY,HINDUNILVR,ICICIBANK,BHARTIARTL,SBIN,LT,ITC
2016-02-16,200.865988,887.165337,221.155582,409.794892,680.067619,165.966988,267.840446,140.488355,626.84988,131.629566
2016-02-17,198.569136,888.509845,220.465876,411.054357,671.815995,160.321569,263.443974,136.516982,617.070558,129.567577
2016-02-18,202.816152,901.008545,224.603974,419.832766,691.168877,164.014432,269.803888,141.165326,646.06649,134.85696
2016-02-19,203.10867,911.865786,223.799343,425.118758,691.977036,165.754748,270.401471,141.797128,645.154204,134.924219
2016-02-22,204.571258,911.687645,225.983285,425.195106,702.950579,166.773492,274.883276,147.754237,650.17216,131.517475
2016-02-23,204.278775,892.603627,222.075138,425.95852,709.628143,161.510057,271.553905,142.609465,641.561796,131.181271
2016-02-24,204.11626,870.631963,217.56929,426.836333,704.524515,157.77473,271.169735,140.172482,632.951371,128.200409
2016-02-25,203.867102,864.481543,215.684164,420.25256,708.097343,154.124318,271.468605,136.291321,616.984886,127.303881
2016-02-26,204.614624,869.999411,217.247441,425.939348,715.497895,153.445166,270.614906,137.690331,622.858363,127.819386
2016-02-29,202.599452,836.537848,213.339278,407.733937,700.526235,154.251682,267.24283,138.096521,600.476913,120.131841
2016-03-01,209.024127,855.127399,223.420005,417.848083,695.932572,165.754752,264.852584,143.105913,616.414749,136.717219
2016-03-02,213.921212,892.405798,228.741983,429.374375,706.055584,179.210397,274.02956,155.697059,646.180559,142.746215
2016-03-03,216.142203,910.106064,232.190358,440.442746,719.45361,181.842069,276.590588,161.112624,646.893177,141.984181
2016-03-04,217.442314,929.308447,228.305214,442.389192,715.795679,185.959432,279.237038,161.112597,676.858737,141.087681
2016-03-07,217.442314,929.308447,228.305214,442.389192,715.795679,185.959432,279.237038,161.112597,676.858737,141.087681
2016-03-08,218.309047,911.371416,232.075439,437.923755,700.951716,181.926986,278.938206,163.730109,668.98963,141.648012
2016-03-09,220.71422,907.791673,231.443206,436.225269,703.120727,178.319009,280.261409,161.293116,671.726608,140.168756
2016-03-10,218.634087,915.623251,232.213347,434.85127,705.204816,182.181657,282.566304,161.924929,673.579857,140.236016
2016-03-11,218.980779,923.553704,232.880019,434.412399,707.33156,180.483779,285.12736,160.255121,667.906202,141.199769
2016-03-14,219.489988,925.531098,235.696214,434.526893,718.815592,185.619827,283.249229,163.098297,671.555692,144.337517
2016-03-15,219.955842,917.659872,234.868606,430.881867,710.776784,187.190413,286.834727,163.955761,670.329555,141.199758
2016-03-16,217.864826,912.43933,234.247894,431.87426,706.906147,185.534945,286.322404,163.910636,664.25668,141.648007
2016-03-17,221.753094,922.367105,232.454777,440.461824,717.114208,190.968162,288.584681,166.979433,675.4047,144.113382
2016-03-18,222.563848,933.441568,233.42027,443.496051,712.860816,191.986897,290.29207,167.88203,678.626564,144.337516
2016-03-21,224.10866,957.173225,237.305436,450.385184,720.601933,196.486205,292.981185,174.200155,681.049902,146.242587
2016-03-22,226.935369,963.699666,239.248025,447.312716,733.617213,195.764662,294.218961,175.554051,696.816595,144.449593
2016-03-23,224.031977,971.926334,239.213544,451.167442,732.04355,195.934416,300.493498,176.276122,701.549551,143.597904
2016-03-24,224.031977,971.926334,239.213544,451.167442,732.04355,195.934416,300.493498,176.276122,701.549551,143.597904
2016-03-25,224.031977,971.926334,239.213544,451.167442,732.04355,195.934416,300.493498,176.276122,701.549551,143.597904
2016-03-28,222.552883,973.607506,239.46642,456.377192,731.745723,190.076776,296.097065,169.371285,683.159767,143.57549
2016-03-29,223.549883,971.01656,240.064154,454.77432,730.384767,188.803365,295.414127,168.468731,678.569359,142.992765
2016-03-30,228.480175,972.994392,242.282577,456.300882,730.639907,192.538692,299.725182,171.943688,685.126959,143.709966
2016-03-31,226.288945,977.800082,244.845898,458.113836,727.747672,198.39633,295.840958,173.613496,690.829128,145.637419
2016-04-01,224.601676,962.750263,242.949269,456.129111,728.172988,197.547394,283.590709,173.297572,691.114499,145.90638
2016-04-04,224.667426,967.8524,244.604464,463.170905,732.68148,199.202828,286.450487,173.794007,696.588508,146.152932
2016-04-05,223.98814,965.894538,242.684891,463.342532,733.532296,191.010596,280.901637,165.445037,678.597746,145.32371
2016-04-06,224.075796,972.737395,242.937801,456.472637,734.127609,186.850794,283.035815,164.452183,674.292687,145.682285
2016-04-07,223.966219,971.807833,240.70785,448.457647,727.36486,186.044291,281.072369,163.369073,671.61269,142.992756
2016-04-08,225.960262,959.941905,242.363066,443.515161,719.496009,186.38391,277.956501,162.647002,673.437249,142.992754
2016-04-11,226.354684,954.404631,239.742326,439.335856,718.900599,186.001861,291.103091,164.27166,676.060494,142.096254
2016-04-12,227.46125,984.108536,243.51251,449.831669,731.745762,189.991874,293.79215,168.152811,688.29176,143.889271
2016-04-13,230.638568,993.759351,245.868919,445.156385,743.059606,197.844537,298.444692,172.214464,700.865319,145.458165
2016-04-14,230.638568,993.759351,245.868919,445.156385,743.059606,197.844537,298.444692,172.214464,700.865319,145.458165
2016-04-15,230.638568,993.759351,245.868919,445.156385,743.059606,197.844537,298.444692,172.214464,700.865319,145.458165
2016-04-18,231.263053,965.083745,246.351654,470.785191,754.118286,199.160354,300.664219,167.521,689.432272,148.394218
2016-04-19,231.263053,965.083745,246.351654,470.785191,754.118286,199.160354,300.664219,167.521,689.432272,148.394218
