Date,RELIANCE,TCS,HDFCBANK,INFY,HINDUNILVR,ICICIBANK,BHARTIARTL,SBIN,LT,ITC
2016-02-16,13024856.0,1588702.0,7136096.0,5125448.0,926079.0,20895952.0,2910959.0,33816243.0,3548740.0,10988951.0
2016-02-17,15442221.0,1585178.0,7503924.0,4164598.0,783633.0,28792115.0,3974587.0,32447698.0,3479412.0,13598699.0
2016-02-18,14433087.0,1529140.0,6799856.0,4189072.0,1179011.0,32260277.0,2569038.0,21024178.0,5457168.0,9751124.0
2016-02-19,10235503.0,879012.0,3328660.0,3974018.0,620200.0,17617480.0,5961801.0,24592575.0,3036894.0,7194078.0
2016-02-22,12770834.0,1324884.0,4002396.0,3857010.0,1883688.0,17567788.0,3455165.0,15815058.0,2054481.0,15270590.0
2016-02-23,18989787.0,1306852.0,6078320.0,2501960.0,590731.0,20001984.0,5437598.0,20200068.0,2045679.0,9198036.0
2016-02-24,15186204.0,1659328.0,6463468.0,4950714.0,1062120.0,20654961.0,2523354.0,19440950.0,1816150.0,14353186.0
2016-02-25,24826958.0,1830556.0,8463196.0,4484528.0,859877.0,38340699.0,9556967.0,22713124.0,2655282.0,15129076.0
2016-02-26,8349402.0,1537536.0,6209388.0,4235636.0,1191495.0,24687792.0,7064596.0,30051402.0,2277972.0,12468580.0
2016-02-29,31032353.0,2191718.0,8812752.0,8166076.0,1974971.0,43510436.0,3988625.0,66981910.0,5500993.0,79431944.0
2016-03-01,16453192.0,1999760.0,4322560.0,6386154.0,1777318.0,27223692.0,4830530.0,23588231.0,3647113.0,67402048.0
2016-03-02,20105967.0,1527486.0,6358976.0,7214898.0,1221727.0,40766551.0,3289694.0,53333757.0,3652203.0,24680589.0
2016-03-03,15880459.0,2648284.0,4610400.0,5814304.0,746384.0,22903720.0,3265002.0,33507048.0,5552958.0,10227569.0
2016-03-04,8987660.0,1512966.0,5704624.0,4281680.0,1331537.0,24493722.0,2167900.0,38860711.0,3438969.0,11818471.0
2016-03-07,8987660.0,1512966.0,5704624.0,4281680.0,1331537.0,24493722.0,2167900.0,38860711.0,3438969.0,11818471.0
2016-03-08,13222993.0,1268152.0,1913688.0,7617746.0,1342346.0,18883002.0,2393678.0,27928279.0,3022782.0,13109801.0
2016-03-09,11854901.0,2017784.0,6528172.0,6305782.0,1929618.0,17300650.0,3430173.0,29453018.0,3121141.0,20903665.0
2016-03-10,20706353.0,1661666.0,2671392.0,24381016.0,1140147.0,13551255.0,1837525.0,20472928.0,2932767.0,13915900.0
2016-03-11,15319044.0,1530528.0,4730856.0,4058548.0,1527676.0,14879621.0,3018179.0,21869157.0,2996377.0,12149994.0
2016-03-14,11880095.0,1636742.0,3008656.0,4174262.0,825367.0,16726756.0,2633043.0,14369755.0,2726301.0,7708725.0
2016-03-15,10487788.0,1623356.0,7690036.0,6720258.0,1330602.0,13475557.0,2309456.0,22369600.0,2444158.0,16209915.0
2016-03-16,11064129.0,1918246.0,4803548.0,5588850.0,1511400.0,17144832.0,4361912.0,19237834.0,2704711.0,9728463.0
2016-03-17,16832997.0,2221088.0,5113484.0,6474622.0,1970969.0,32391146.0,7155690.0,21560986.0,3872653.0,13035516.0
2016-03-18,14030979.0,3204070.0,4135068.0,8477422.0,1848223.0,18370981.0,3951904.0,21144216.0,2566830.0,14383934.0
2016-03-21,12708074.0,2336982.0,5318796.0,5138392.0,1587554.0,14818419.0,2813415.0,20678069.0,3575446.0,16781906.0
2016-03-22,15333442.0,1951984.0,4120264.0,7097950.0,2024654.0,12269251.0,4425316.0,16728809.0,2979816.0,19781991.0
2016-03-23,16806372.0,2278434.0,8464300.0,6333176.0,1373555.0,16987529.0,5116641.0,13362780.0,2438136.0,16015333.0
2016-03-24,16806372.0,2278434.0,8464300.0,6333176.0,1373555.0,16987529.0,5116641.0,13362780.0,2438136.0,16015333.0
2016-03-25,16806372.0,2278434.0,8464300.0,6333176.0,1373555.0,16987529.0,5116641.0,13362780.0,2438136.0,16015333.0
2016-03-28,18070240.0,3320882.0,11270868.0,10787510.0,2033190.0,20214214.0,4630593.0,19760603.0,3717456.0,17073110.0
2016-03-29,15871250.0,1838796.0,6733952.0,6995356.0,1389839.0,20447782.0,4073263.0,16804848.0,2703178.0,18701607.0
2016-03-30,14453294.0,2136504.0,7814380.0,5756818.0,1453623.0,23016348.0,4229163.0,20709407.0,2874000.0,14435320.0
2016-03-31,30833349.0,4363964.0,20080392.0,17996320.0,2635929.0,30614104.0,7926944.0,30132473.0,4945963.0,28529105.0
2016-04-01,12381116.0,3041400.0,5158648.0,5511428.0,1096484.0,15677352.0,4517171.0,21752206.0,2539944.0,14850746.0
2016-04-04,8632568.0,1752352.0,6179960.0,4577054.0,960124.0,16716587.0,3434762.0,15732565.0,1740162.0,14209372.0
2016-04-05,10259495.0,1491794.0,6663028.0,4790716.0,1096886.0,26547328.0,5289842.0,36635637.0,3151113.0,8964083.0
2016-04-06,6990781.0,1763150.0,4295376.0,4931354.0,1041648.0,19185947.0,3037097.0,16350631.0,2583834.0,6892514.0
2016-04-07,8789163.0,2390942.0,3911692.0,5657890.0,848064.0,17724531.0,2415746.0,19430601.0,2707579.0,10412846.0
2016-04-08,13411752.0,1399500.0,2962796.0,4195578.0,712487.0,9986871.0,2319546.0,15805231.0,1565038.0,4985755.0
2016-04-11,10308361.0,2400648.0,4049620.0,5768678.0,943737.0,19813955.0,4524262.0,18990364.0,2529934.0,14365804.0
2016-04-12,11164859.0,1303628.0,4941480.0,5842138.0,867406.0,20594261.0,3089585.0,14563344.0,2837052.0,6187731.0
2016-04-13,16038542.0,1601468.0,4974604.0,12511386.0,1897529.0,26283492.0,6614377.0,17573045.0,4955905.0,12397612.0
2016-04-14,16038542.0,1601468.0,4974604.0,12511386.0,1897529.0,26283492.0,6614377.0,17573045.0,4955905.0,12397612.0
2016-04-15,16038542.0,1601468.0,4974604.0,12511386.0,1897529.0,26283492.0,6614377.0,17573045.0,4955905.0,12397612.0
2016-04-18,19065716.0,7121504.0,4117068.0,25015990.0,1091523.0,17531597.0,2828391.0,13985439.0,2644515.0,14746380.0
2016-04-19,19065716.0,7121504.0,4117068.0,25015990.0,1091523.0,17531597.0,2828391.0,13985439.0,2644515.0,14746380.0
2016-04-20,21687934.0,6405024.0,3821352.0,8072848.0,1424850.0,18650423.0,3250868.0,20163005.0,2522848.0,9345601.0
2016-04-21,11380697.0,2525724.0,8191728.0,5441100.0,1162870.0,36699098.0,2218219.0,31008152.0,1723543.0,7212220.0
2016-04-22,11705087.0,1964126.0,7809320.0,5143938.0,1078366.0,25884500.0,1460160.0,34049763.0,2008374.0,6515084.0
2016-04-25,61157544.0,2267654.0,5561960.0,5364134.0,828061.0,18121694.0,3431082.0,23835613.0,2128689.0,6324530.0
2016-04-26,26429236.0,2554368.0,7053796.0,5846744.0,1214609.0,30185498.0,2605766.0,21809451.0,1877685.0,15023308.0
2016-04-27,14502641.0,1848670.0,5763636.0,4486208.0,778693.0,36932788.0,8618572.0,22801603.0,1557685.0,9677599.0
2016-04-28,61949033.0,4992744.0,8089584.0,12165168.0,2715410.0,41386507.0,10016684.0,24555479.0,2789970.0,20225037.0
2016-04-29,23479680.0,2372178.0,5611940.0,5036410.0,1581281.0,71191415.0,5411248.0,21021661.0,1689373.0,10729330.0
2016-05-02,10620873.0,1116692.0,3862716.0,3615250.0,787156.0,36440547.0,1745061.0,14469844.0,1344315.0,3388196.0
2016-05-03,17571826.0,2153118.0,4695296.0,6824810.0,1305303.0,29305611.0,4349238.0,16247931.0,2525149.0,11124246.0
2016-05-04,13546285.0,1364892.0,5292328.0,5812842.0,568460.0,36781786.0,1883272.0,17826594.0,1644345.0,6402669.0
2016-05-05,21665684.0,1246566.0,5214248.0,6302668.0,760873.0,27512684.0,2375047.0,17742028.0,2821255.0,6576427.0
2016-05-06,14748329.0,885598.0,2733152.0,2596720.0,411253.0,22266141.0,3196077.0,18336962.0,1610382.0,16183901.0
2016-05-09,15347096.0,1821276.0,6953180.0,5123678.0,3215773.0,19006901.0,2070741.0,13863696.0,2788513.0,8857475.0
2016-05-10,7248302.0,1158534.0,5453000.0,3395704.0,1523285.0,22357177.0,2932396.0,13845979.0,3676146.0,8564326.0
2016-05-11,12339923.0,1598716.0,6147372.0,3709888.0,697299.0,32481385.0,5316307.0,18128414.0,4603557.0,11154663.0
2016-05-12,12786216.0,1513082.0,4221688.0,3406932.0,730642.0,23932051.0,3224321.0,17398341.0,1553274.0,5782937.0
2016-05-13,14648291.0,1621730.0,5045316.0,5652064.0,2369627.0,23963285.0,4006032.0,15546644.0,2103742.0,9804509.0
2016-05-16,9327335.0,1111526.0,4518768.0,4533878.0,1940183.0,21535308.0,2996171.0,30937008.0,2410951.0,13469690.0
2016-05-17,12157600.0,1756698.0,4295424.0,3796294.0,1434067.0,18859442.0,2749594.0,22183140.0,2223565.0,12444300.0
2016-05-18,8228838.0,1500740.0,4162644.0,4256596.0,1428456.0,17541869.0,2421651.0,25345278.0,2603508.0,7908685.0
2016-05-19,9134784.0,1038792.0,3855796.0,3954400.0,1866764.0,16422069.0,2741126.0,25480517.0,2005083.0,8918517.0
2016-05-20,18544619.0,1230918.0,2016632.0,3994548.0,1624617.0,14666521.0,4199413.0,16720624.0,1672558.0,21044560.0
2016-05-23,18365734.0,1533016.0,3463532.0,4585946.0,1118741.0,14239474.0,1842701.0,16193112.0,2198760.0,54852807.0
2016-05-24,12283217.0,1339158.0,3259468.0,3485060.0,946784.0,10907585.0,2293594.0,14816798.0,1858491.0,16271995.0
2016-05-25,9240115.0,1548678.0,5767348.0,3857396.0,1127694.0,20767970.0,2157455.0,18900887.0,3721570.0,10338908.0
2016-05-26,14190024.0,1943248.0,13705560.0,6136436.0,2479387.0,33650773.0,5273432.0,30700988.0,20691907.0,13074273.0
2016-05-27,13401594.0,1104676.0,5775184.0,6180764.0,1531278.0,26582685.0,3075870.0,85585820.0,5885740.0,10925400.0
2016-05-30,9633652.0,1349464.0,3814532.0,5285700.0,776274.0,15860236.0,2845695.0,46075949.0,3487939.0,7646107.0
2016-05-31,23332727.0,3722608.0,5515640.0,13782038.0,12132028.0,18249239.0,24281872.0,39457647.0,3809605.0,15054842.0
2016-06-01,9042808.0,1911942.0,5675632.0,4840534.0,1223721.0,11862710.0,3081625.0,41868032.0,2486295.0,12409528.0
2016-06-02,10253825.0,1408756.0,7910616.0,5053552.0,3409326.0,15349530.0,2604662.0,23499884.0,3103587.0,13708259.0
2016-06-03,8643295.0,1554922.0,4524420.0,3998380.0,1752265.0,16566716.0,3677399.0,24568749.0,2250340.0,7381218.0
2016-06-06,8672842.0,1322026.0,5547308.0,4225768.0,1941227.0,11592082.0,5264582.0,23623536.0,1901931.0,7694861.0
2016-06-07,18954268.0,1202194.0,5628504.0,5692420.0,2185954.0,25311345.0,4463323.0,66063192.0,3348535.0,11008034.0
2016-06-08,12135516.0,938266.0,4742812.0,8741370.0,1470489.0,25139392.0,2654000.0,35163093.0,3325263.0,7611794.0
2016-06-09,15643495.0,1562138.0,4648184.0,12740804.0,1376923.0,13787240.0,1549979.0,27858182.0,1813729.0,12065100.0
2016-06-10,16316760.0,1396832.0,6322312.0,6383956.0,793113.0,13236448.0,2180603.0,25598224.0,2152996.0,11163385.0
2016-06-13,10214469.0,1029978.0,3323236.0,5286722.0,1071858.0,14297870.0,2180335.0,21192525.0,2209357.0,12184759.0
2016-06-14,10923848.0,977570.0,3828768.0,2940728.0,826228.0,11988708.0,3358585.0,23918910.0,1689316.0,7849407.0
2016-06-15,11129082.0,1270844.0,3045824.0,6711572.0,863255.0,15761615.0,3259569.0,48362742.0,2960616.0,9890057.0
2016-06-16,9372207.0,1145070.0,4727768.0,5302564.0,803719.0,17042021.0,2614007.0,48122379.0,2447025.0,9057747.0
2016-06-17,10534878.0,1878988.0,3761652.0,8515082.0,849716.0,15150943.0,5592177.0,26486677.0,2653944.0,9326214.0
2016-06-20,10758608.0,1872838.0,2742764.0,6229566.0,526386.0,17780316.0,3205939.0,32633757.0,2975367.0,9020745.0
2016-06-21,13933068.0,1027690.0,2670968.0,4761724.0,1214022.0,12191664.0,1615514.0,18960306.0,1195078.0,6913784.0
2016-06-22,12788710.0,1761712.0,3803840.0,3031258.0,723156.0,13478056.0,2399688.0,16395548.0,1813926.0,9255264.0
2016-06-23,9837526.0,1397014.0,3926732.0,3828626.0,574726.0,7979235.0,1405739.0,20666649.0,2053992.0,8991200.0
2016-06-24,24985097.0,3766586.0,11173964.0,7808348.0,1157925.0,33755632.0,2445195.0,47224652.0,6840802.0,12511364.0
2016-06-27,9163399.0,4272566.0,4163788.0,5583778.0,815766.0,13172968.0,2697253.0,29021651.0,2560092.0,10639592.0
2016-06-28,7604977.0,4499524.0,4034980.0,7655974.0,1607560.0,11302737.0,3541398.0,21784062.0,2342134.0,16301081.0
2016-06-29,7523987.0,2531264.0,5420668.0,5459150.0,857945.0,7959976.0,2469054.0,18019568.0,2000545.0,11999827.0
2016-06-30,12758283.0,5121812.0,16278892.0,9346224.0,2029009.0,16851065.0,4076692.0,30600995.0,3960568.0,21706947.0
2016-07-01,6610193.0,2197296.0,4304876.0,3991912.0,1099564.0,9108853.0,2907785.0,15346865.0,3497923.0,29020448.0
2016-07-04,7803505.0,1883484.0,7249852.0,5381322.0,674938.0,10389222.0,1855655.0,16534518.0,2718052.0,14535927.0
2016-07-05,11359882.0,1559748.0,2136328.0,3596416.0,631452.0,10375132.0,1559936.0,15357018.0,2636760.0,9335877.0
2016-07-06,11359882.0,1559748.0,2136328.0,3596416.0,631452.0,10375132.0,1559936.0,15357018.0,2636760.0,9335877.0
2016-07-07,12029091.0,3316800.0,4832616.0,5954876.0,1689043.0,8365966.0,2606039.0,12917872.0,2084571.0,9305981.0
2016-07-08,7140617.0,2456356.0,3118868.0,5551648.0,1579861.0,7658211.0,1746867.0,16017389.0,1915600.0,7165465.0
2016-07-11,8266601.0,1543632.0,5102532.0,6668882.0,746028.0,9682385.0,2437511.0,15831791.0,1815517.0,7547920.0
2016-07-12,9767494.0,1465536.0,7046032.0,6197368.0,813346.0,28558549.0,1333227.0,19374179.0,2383048.0,4302932.0
2016-07-13,14915296.0,2102300.0,6687072.0,5275420.0,598072.0,28248930.0,1609500.0,18377333.0,2036055.0,4510416.0
2016-07-14,10758372.0,2699988.0,3459668.0,7413328.0,757072.0,14269365.0,1097465.0,21208021.0,1909636.0,6326605.0
2016-07-15,13992989.0,8336366.0,5774216.0,61484126.0,1284879.0,11510449.0,2814751.0,15068302.0,2428458.0,9705885.0
2016-07-18,32106850.0,2598850.0,4438484.0,14332824.0,3013256.0,14310274.0,3592796.0,11816985.0,1855422.0,7088259.0
2016-07-19,16649300.0,2362896.0,2586004.0,10404644.0,2602482.0,14880049.0,3552577.0,19767339.0,1926168.0,6980063.0
2016-07-20,12265316.0,2815252.0,4690332.0,9822896.0,897886.0,7892214.0,2845114.0,18051608.0,1790911.0,9671252.0
2016-07-21,6711097.0,2527148.0,9112904.0,8668002.0,876194.0,12060367.0,2198453.0,13306837.0,1678212.0,12168179.0
2016-07-22,6899519.0,1517216.0,5620272.0,9386538.0,967993.0,8537587.0,2559958.0,12341622.0,1877206.0,16388121.0
2016-07-25,8241568.0,1688796.0,9872884.0,8469552.0,1297630.0,11311554.0,1850765.0,18427070.0,2209774.0,9212323.0
2016-07-26,10516399.0,2311290.0,5665992.0,7189610.0,1094799.0,11896758.0,1862583.0,14162638.0,1729183.0,7080363.0
2016-07-27,11030767.0,1750510.0,10734736.0,7431820.0,1168069.0,26003949.0,2593217.0,17626617.0,2467012.0,9241105.0
