Date,RELIANCE,TCS,HDFCBANK,INFY,HINDUNILVR,ICICIBANK,BHARTIARTL,SBIN,LT,ITC
2016-02-16,,,,,,,,,,
2016-02-17,,,,,,,,,,
2016-02-18,,,,,,,,,,
2016-02-19,,,,,,,,,,
2016-02-22,,,,,,,,,,
2016-02-23,,,,,,,,,,
2016-02-24,,,,,,,,,,
2016-02-25,,,,,,,,,,
2016-02-26,,,,,,,,,,
2016-02-29,,,,,,,,,,
2016-03-01,,,,,,,,,,
2016-03-02,,,,,,,,,,
2016-03-03,,,,,,,,,,
2016-03-04,,,,,,,,,,
2016-03-07,,,,,,,,,,
2016-03-08,,,,,,,,,,
2016-03-09,,,,,,,,,,
2016-03-10,,,,,,,,,,
2016-03-11,,,,,,,,,,
2016-03-14,212.528465,910.332108,228.463255,432.804613,712.907703,173.427007,278.80162,153.345796,655.878686,137.959996
2016-03-15,213.503001,911.604681,229.07534,433.858961,714.506961,174.477566,279.979692,154.650043,658.066925,138.430661
2016-03-16,214.252184,912.623169,229.713863,434.900909,715.851022,175.990793,280.788547,155.834694,659.798984,138.928223
2016-03-17,215.198435,913.339078,230.046632,435.632753,716.797388,177.332113,281.623012,157.032883,661.042078,139.336133
2016-03-18,216.221351,915.439316,230.496069,436.895117,717.67995,178.664944,282.40199,158.231075,662.433432,139.788868
2016-03-21,217.160451,918.017163,231.149535,438.197559,718.44555,180.210005,283.449876,159.668451,664.668719,140.497108
2016-03-22,218.35219,922.152402,232.11278,439.458009,719.861926,181.975793,284.713315,161.428504,667.723697,141.154921
2016-03-23,219.307094,927.35061,233.259362,441.031424,721.429279,183.979283,286.175235,163.247225,671.420184,141.976344
2016-03-24,220.354629,932.51124,234.485831,442.892043,722.739304,186.15256,287.696909,165.26903,675.870804,142.829146
2016-03-25,221.334451,937.718335,235.501375,444.54561,723.747351,188.249432,289.414928,167.105804,679.631442,143.575488
2016-03-28,222.041262,943.583987,236.370938,446.851823,725.161584,189.752048,290.878981,168.439382,683.347894,144.176148
2016-03-29,222.763007,947.395871,237.171535,448.222008,726.735327,190.535192,292.32169,169.678189,685.343686,144.056241
2016-03-30,223.384228,950.770703,237.835345,449.175215,727.262741,191.278011,293.493359,170.418314,687.91398,144.23106
2016-03-31,223.862212,953.680777,238.470996,450.110294,728.138931,192.069643,294.236055,170.937302,688.187689,144.457426
2016-04-01,224.292297,955.586224,238.975605,450.774388,728.949197,192.825196,294.50069,171.264491,689.462149,144.924729
2016-04-04,224.728956,957.834787,239.533089,452.16842,729.946609,193.59985,295.322346,171.548808,690.678152,145.272125
2016-04-05,224.853685,959.979517,240.030801,453.243758,731.743646,193.971259,295.279662,171.593937,690.897681,145.411084
2016-04-06,224.893655,962.444644,240.452653,453.667404,733.106842,194.234428,295.275391,171.614246,690.869174,145.545561
2016-04-07,225.296454,964.867246,240.846342,454.411652,734.061725,194.438171,295.059839,171.679683,690.776517,145.620642
2016-04-08,225.659599,966.188294,241.198652,454.845796,734.010681,194.752279,294.946727,171.815073,690.964682,145.6184
2016-04-11,226.009142,969.187375,241.697517,455.660654,734.314792,194.881741,295.266858,172.108414,691.795788,145.667708
2016-04-12,226.428348,972.910278,242.11477,456.572838,735.663101,195.195846,295.574181,172.221238,692.983288,145.799943
2016-04-13,227.038346,976.848718,242.704442,456.959284,737.940768,195.800715,296.118404,172.523605,694.457327,146.006139
2016-04-14,227.586703,980.292749,243.432622,457.16825,739.9845,196.348278,296.566586,172.774074,695.644824,146.176476
2016-04-15,228.01235,982.277301,244.045859,456.773229,742.08353,196.791847,296.86324,172.803407,696.659823,146.32216
2016-04-18,228.313098,983.73086,244.53093,457.609074,742.91293,196.889475,297.108668,172.349856,697.368332,146.41069
2016-04-19,228.498257,984.653409,244.921171,458.539386,744.146399,197.040159,297.471481,171.864713,697.815967,146.685245
2016-04-20,228.587001,984.189679,245.478658,459.222566,745.443664,197.203579,297.405319,171.445009,698.483127,146.937387
2016-04-21,228.717927,983.212726,245.959133,459.575612,746.738806,198.003702,297.36477,171.343469,698.751129,147.065138
2016-04-22,228.824749,982.090427,246.451099,459.641452,747.189657,198.759254,297.147082,171.503679,699.394061,147.099879
2016-04-25,228.786403,981.652359,246.976976,459.85042,748.0616,199.92654,297.537636,171.898565,701.080508,147.06626
2016-04-26,228.574949,982.055814,247.667223,460.516422,749.107916,201.227534,297.789468,172.415298,703.562421,147.232114
2016-04-27,228.272008,982.482984,248.348277,461.169074,750.407318,201.528906,298.61113,172.352118,704.942374,147.371072
2016-04-28,227.740635,982.630316,248.840245,460.994458,750.694418,201.675346,299.545906,172.252833,706.164093,147.251166
2016-04-29,227.173652,984.244067,249.620729,461.045033,750.698666,201.618044,300.747458,171.952721,706.640225,147.002386
2016-05-02,226.646659,985.34068,250.179368,460.231129,750.347769,201.108682,301.14442,171.560094,707.065042,146.788346
2016-05-03,226.086251,985.644232,250.875368,459.429637,749.60343,200.91767,302.759999,171.546555,708.668808,146.555252
2016-05-04,225.47654,985.567096,251.632283,459.203503,748.82507,200.573853,303.910327,171.370549,709.665283,146.258284
2016-05-05,224.797256,985.557211,252.515068,459.412469,748.406113,200.334031,304.898456,171.298342,712.258389,146.21794
2016-05-06,224.05881,986.374966,253.208192,459.713028,748.533719,200.221546,305.944206,171.354754,714.202869,146.139494
2016-05-09,223.432116,986.49166,254.017983,460.002139,747.734091,200.247015,306.735986,171.375063,716.517975,146.084583
2016-05-10,222.721608,986.585596,254.959388,460.586089,747.306631,200.109062,307.536304,171.451784,719.302106,146.109237
2016-05-11,221.72843,986.429364,255.615153,461.142364,745.811581,199.4002,307.862834,171.140392,721.949377,145.812268
2016-05-12,220.92589,987.220435,256.389313,461.85417,743.910342,199.024544,308.325949,170.986951,724.264499,145.519782
2016-05-13,219.962843,987.165076,257.069216,462.513496,741.107379,198.423922,308.481741,170.668788,725.735684,145.253069
2016-05-16,218.989934,987.786047,257.931311,462.061218,738.857361,197.855134,308.227774,170.219749,726.598145,145.118594
2016-05-17,217.942522,988.783774,258.685929,461.594627,736.088434,197.37973,307.877766,169.772967,727.684424,145.008772
2016-05-18,217.211198,990.776236,259.177898,460.950568,732.745309,196.887347,307.647278,169.441264,728.936078,144.946017
2016-05-19,216.22569,993.397604,259.731361,460.558405,728.961957,195.720061,307.115864,168.464206,729.339517,144.831712
2016-05-20,215.07803,995.617487,260.291723,460.374251,725.908054,194.366009,306.639941,167.164474,729.054401,144.933689
2016-05-23,214.125937,996.412512,260.791737,459.842777,723.162521,193.014079,306.080786,165.87151,728.361569,145.514176
2016-05-24,213.287791,995.975436,261.091747,458.99548,720.497797,191.761899,305.429861,164.452184,727.253903,145.976997
2016-05-25,212.540582,996.278983,261.656134,458.394357,718.281793,191.354411,304.516429,163.502206,727.685843,146.481284
2016-05-26,211.994415,996.693304,262.452707,458.87144,717.180173,191.398981,303.669154,163.145681,733.804367,147.367703
2016-05-27,211.906767,997.427985,263.078586,459.623323,716.895203,191.662152,303.142009,163.457075,740.085413,148.137577
2016-05-30,211.706816,999.597446,263.792395,460.89332,716.486877,192.415581,303.060908,164.03699,746.824066,149.131114
2016-05-31,211.510152,1001.403055,264.526898,462.245374,716.367773,193.415203,302.337422,164.980199,753.157855,150.113727
2016-06-01,211.241725,1004.479273,265.076343,463.568799,716.442206,194.50184,302.414255,165.80607,759.38045,151.410357
2016-06-02,211.033557,1008.036032,265.566583,464.887456,717.209933,195.63517,302.917923,166.717687,765.179645,152.516802
2016-06-03,210.931664,1011.124094,266.16545,466.517171,718.547614,196.702708,302.877376,167.38706,770.886188,153.527921
2016-06-06,210.621606,1013.636725,266.506837,467.809111,719.987369,197.475241,302.106937,167.965281,775.837186,154.41897
2016-06-07,210.320311,1016.317349,266.83788,468.660227,721.459033,198.689221,301.266071,169.021775,780.622815,155.503442
2016-06-08,210.086943,1018.728278,267.11145,469.351993,722.932819,200.119678,300.999295,170.306499,785.853217,156.712333
2016-06-09,209.849741,1019.475571,267.229842,469.147864,723.930225,201.085345,300.53618,171.398979,790.852661,157.716841
2016-06-10,209.833853,1020.639691,267.464905,468.901621,725.752798,202.193206,300.373984,172.473294,796.589136,158.617451
2016-06-13,209.890276,1021.080212,267.351105,468.513274,726.941614,203.042145,299.902325,173.721152,801.803854,159.274432
2016-06-14,209.968065,1020.901178,267.332713,468.02534,728.287793,203.848634,299.537381,175.236516,806.635098,159.984879
2016-06-15,210.121999,1021.539459,267.664906,467.909993,730.378314,204.76124,299.565123,176.993761,812.449979,160.789627
2016-06-16,210.396999,1022.091034,267.927559,467.796623,733.115347,205.543098,299.637685,179.075909,818.953409,161.663473
2016-06-17,210.842914,1024.074634,268.262053,467.636961,736.048035,206.5303,300.280075,181.102389,825.372736,162.527784
2016-06-20,211.502475,1027.939703,268.667812,468.301524,738.591525,207.459893,301.076126,183.37402,832.952469,162.98093
2016-06-21,212.013578,1032.112604,268.974718,468.919696,740.596985,208.232214,301.80388,185.509138,840.15585,163.417518
2016-06-22,212.334594,1035.45235,268.954024,469.011607,741.814871,208.610785,302.290475,187.341235,845.856689,163.587492
