Date,RELIANCE,TCS,HDFCBANK,INFY,HINDUNILVR,ICICIBANK,BHARTIARTL,SBIN,LT,ITC
2016-02-16,,,,,,,,,,
2016-02-17,,,,,,,,,,
2016-02-18,,,,,,,,,,
2016-02-19,,,,,,,,,,
2016-02-22,,,,,,,,,,
2016-02-23,,,,,,,,,,
2016-02-24,,,,,,,,,,
2016-02-25,,,,,,,,,,
2016-02-26,,,,,,,,,,
2016-02-29,,,,,,,,,,
2016-03-01,,,,,,,,,,
2016-03-02,,,,,,,,,,
2016-03-03,,,,,,,,,,
2016-03-04,,,,,,,,,,
2016-03-07,,,,,,,,,,
2016-03-08,,,,,,,,,,
2016-03-09,,,,,,,,,,
2016-03-10,,,,,,,,,,
2016-03-11,,,,,,,,,,
2016-03-14,,,,,,,,,,
2016-03-15,,,,,,,,,,
2016-03-16,,,,,,,,,,
2016-03-17,,,,,,,,,,
2016-03-18,,,,,,,,,,
2016-03-21,,,,,,,,,,
2016-03-22,,,,,,,,,,
2016-03-23,,,,,,,,,,
2016-03-24,,,,,,,,,,
2016-03-25,,,,,,,,,,
2016-03-28,,,,,,,,,,
2016-03-29,0.012484,0.014258,0.010231,0.015203,0.016396,0.0265,0.012804,0.028581,0.020209,0.023104
2016-03-30,0.011988,0.014288,0.010328,0.014998,0.016307,0.027744,0.01272,0.029272,0.020602,0.023298
2016-03-31,0.011616,0.014132,0.010097,0.014581,0.016077,0.027537,0.0129,0.029608,0.020329,0.023113
2016-04-01,0.011903,0.015109,0.010217,0.014783,0.016089,0.027506,0.01526,0.029267,0.020518,0.023403
2016-04-04,0.011544,0.015121,0.010206,0.015711,0.014288,0.027477,0.016699,0.029325,0.020524,0.023417
2016-04-05,0.011329,0.014434,0.009713,0.016217,0.013215,0.028857,0.018829,0.03017,0.021241,0.023198
2016-04-06,0.011347,0.013569,0.008589,0.016565,0.013219,0.028469,0.018893,0.029991,0.021088,0.022747
2016-04-07,0.011113,0.013645,0.00852,0.016657,0.013444,0.028165,0.018973,0.02944,0.021094,0.023117
2016-04-08,0.011127,0.014078,0.007991,0.016828,0.013534,0.028161,0.018815,0.029184,0.020803,0.022995
2016-04-11,0.010817,0.014484,0.00798,0.015692,0.013121,0.027912,0.020009,0.029384,0.019965,0.023051
2016-04-12,0.010596,0.012236,0.008008,0.014233,0.013089,0.024474,0.019863,0.029289,0.018471,0.014304
2016-04-13,0.010445,0.011899,0.007545,0.013498,0.012973,0.02262,0.019673,0.020492,0.018437,0.014762
2016-04-14,0.010319,0.01126,0.007465,0.013339,0.012971,0.02251,0.019348,0.020456,0.014842,0.014725
2016-04-15,0.010203,0.011147,0.00746,0.013338,0.01297,0.022468,0.019162,0.019705,0.014659,0.014589
2016-04-18,0.010215,0.011176,0.007479,0.01682,0.012965,0.022694,0.019529,0.020342,0.014858,0.014716
2016-04-19,0.009626,0.011163,0.007321,0.016754,0.011806,0.02241,0.019524,0.019707,0.014811,0.014485
2016-04-20,0.010543,0.012425,0.007276,0.016636,0.011548,0.022386,0.019576,0.019711,0.014442,0.014478
2016-04-21,0.009015,0.012583,0.007364,0.015771,0.01152,0.024829,0.01957,0.020547,0.013957,0.014653
2016-04-22,0.009034,0.012552,0.007305,0.015997,0.012037,0.024773,0.019731,0.02111,0.014037,0.014592
2016-04-25,0.00988,0.012743,0.007283,0.015985,0.011999,0.024085,0.019857,0.02137,0.014026,0.0147
2016-04-26,0.00988,0.012792,0.007873,0.016034,0.011378,0.024059,0.019844,0.021377,0.014104,0.014308
2016-04-27,0.009886,0.012824,0.007962,0.015861,0.011415,0.024993,0.020538,0.021925,0.014152,0.014358
2016-04-28,0.010655,0.012756,0.007811,0.016597,0.011933,0.025283,0.020544,0.022308,0.014395,0.015561
2016-04-29,0.010696,0.011533,0.008102,0.015869,0.012082,0.025376,0.021099,0.022001,0.014421,0.015592
2016-05-02,0.010543,0.011493,0.008213,0.015911,0.010007,0.026357,0.020795,0.021469,0.013802,0.01524
2016-05-03,0.010444,0.011917,0.00815,0.016295,0.010183,0.026713,0.021382,0.021504,0.013743,0.014826
2016-05-04,0.010055,0.011917,0.008141,0.016146,0.010167,0.027202,0.021391,0.021814,0.013744,0.014919
2016-05-05,0.010053,0.011932,0.008135,0.016158,0.010182,0.027206,0.021702,0.021828,0.014293,0.015242
2016-05-06,0.010083,0.011934,0.008504,0.016239,0.010216,0.027471,0.021839,0.022291,0.014444,0.015242
2016-05-09,0.010441,0.012276,0.009028,0.016477,0.010147,0.027252,0.021692,0.021407,0.014098,0.015769
2016-05-10,0.009954,0.012285,0.009009,0.016562,0.010815,0.027194,0.021594,0.02139,0.014226,0.01572
2016-05-11,0.009732,0.012214,0.009004,0.016602,0.010815,0.024523,0.022208,0.020266,0.013425,0.01544
2016-05-12,0.010405,0.012494,0.009066,0.01654,0.010862,0.025417,0.022187,0.020417,0.013411,0.015428
2016-05-13,0.010563,0.011883,0.009097,0.016429,0.011732,0.025701,0.020907,0.020633,0.013873,0.01474
2016-05-16,0.010554,0.011974,0.009599,0.015368,0.01217,0.025768,0.019737,0.022002,0.01388,0.015662
2016-05-17,0.010538,0.011996,0.009474,0.014964,0.012405,0.023793,0.017162,0.019858,0.012295,0.015482
2016-05-18,0.010436,0.012042,0.009812,0.014689,0.012474,0.02365,0.017062,0.020146,0.012313,0.015516
2016-05-19,0.010877,0.012,0.009718,0.014383,0.012448,0.023579,0.017334,0.021355,0.013117,0.015704
2016-05-20,0.01121,0.011794,0.009718,0.01416,0.012324,0.024012,0.017343,0.021332,0.013224,0.015962
2016-05-23,0.011128,0.010785,0.009646,0.014064,0.012024,0.02385,0.015768,0.020723,0.013073,0.018033
2016-05-24,0.011299,0.010879,0.00948,0.01406,0.011894,0.02379,0.015738,0.020803,0.013014,0.017748
2016-05-25,0.010938,0.011745,0.010325,0.014316,0.011237,0.023392,0.016114,0.021361,0.014769,0.017551
2016-05-26,0.010916,0.011852,0.010362,0.014771,0.011534,0.023895,0.016125,0.023568,0.029468,0.017767
2016-05-27,0.012486,0.011966,0.010346,0.014857,0.011832,0.023939,0.016149,0.026382,0.029465,0.01789
2016-05-30,0.012495,0.012728,0.010466,0.011163,0.011879,0.02378,0.015755,0.025962,0.029425,0.017997
2016-05-31,0.012567,0.01365,0.010455,0.011529,0.011917,0.023779,0.015918,0.026463,0.029538,0.0183
2016-06-01,0.011842,0.013259,0.010494,0.011588,0.011985,0.024054,0.017041,0.027273,0.029599,0.018942
2016-06-02,0.011826,0.013041,0.010386,0.011271,0.012381,0.021002,0.017094,0.026512,0.029441,0.018726
2016-06-03,0.011882,0.013146,0.010426,0.011,0.012288,0.021095,0.017458,0.025995,0.029592,0.018693
2016-06-06,0.011362,0.012975,0.010437,0.010996,0.012342,0.021077,0.017854,0.025904,0.029578,0.018358
2016-06-07,0.011364,0.012767,0.009962,0.010869,0.012882,0.022583,0.017835,0.027633,0.029588,0.018359
2016-06-08,0.011335,0.012816,0.010063,0.011196,0.012818,0.021567,0.016637,0.027187,0.029596,0.01817
2016-06-09,0.011246,0.013084,0.009904,0.011731,0.013107,0.02139,0.016641,0.026839,0.029592,0.017683
2016-06-10,0.01102,0.01319,0.009484,0.011753,0.012988,0.021279,0.016086,0.026925,0.029576,0.017851
2016-06-13,0.011023,0.013189,0.00925,0.011707,0.012957,0.020733,0.016445,0.027043,0.029771,0.017655
2016-06-14,0.010861,0.01269,0.009257,0.011174,0.012774,0.020071,0.015391,0.027306,0.029808,0.017284
2016-06-15,0.010964,0.012761,0.009532,0.011283,0.012892,0.019085,0.01596,0.027549,0.030276,0.017187
2016-06-16,0.011065,0.012733,0.009612,0.011293,0.012886,0.019458,0.015809,0.027567,0.030353,0.017396
2016-06-17,0.011,0.013053,0.009389,0.011206,0.012878,0.019316,0.016612,0.027612,0.030332,0.017455
2016-06-20,0.011051,0.013311,0.008759,0.011781,0.012745,0.018653,0.016592,0.02743,0.030159,0.017238
2016-06-21,0.011068,0.013342,0.008807,0.011614,0.012417,0.018663,0.016594,0.02755,0.030135,0.017178
2016-06-22,0.011055,0.013341,0.008754,0.011534,0.012423,0.018579,0.015825,0.027089,0.030158,0.016941
2016-06-23,0.010543,0.013096,0.009055,0.011613,0.0124,0.017601,0.015768,0.027145,0.030057,0.017041
2016-06-24,0.011541,0.013709,0.010033,0.011906,0.011666,0.018785,0.015995,0.027503,0.031047,0.017516
2016-06-27,0.011577,0.01472,0.009407,0.012606,0.011277,0.018636,0.016165,0.026194,0.03126,0.016858
2016-06-28,0.011525,0.014816,0.009345,0.012641,0.012383,0.01858,0.016412,0.026275,0.031259,0.017362
2016-06-29,0.011661,0.015071,0.009221,0.012976,0.012221,0.018734,0.016422,0.026207,0.031207,0.017463
2016-06-30,0.011045,0.015514,0.009271,0.012994,0.012125,0.018868,0.016851,0.024635,0.030376,0.016656
2016-07-01,0.010489,0.015852,0.009288,0.012986,0.012087,0.018178,0.016737,0.024459,0.030573,0.017021
2016-07-04,0.010657,0.015606,0.009256,0.012945,0.012152,0.018918,0.016781,0.023973,0.030415,0.016023
