Date,RELIANCE,TCS,HDFCBANK,INFY,HINDUNILVR,ICICIBANK,BHARTIARTL,SBIN,LT,ITC
2016-02-16,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2016-02-17,50.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,50.0
2016-02-18,95.821503,50.0,50.0,50.0,50.0,6.629817,50.0,50.0,50.0,50.0
2016-02-19,95.884469,50.0,99.518431,50.0,50.0,9.790574,50.0,50.0,50.0,98.464543
2016-02-22,96.148456,97.566425,97.661836,99.745559,50.0,9.743662,50.0,50.0,99.676399,90.637066
2016-02-23,91.685084,71.599486,58.02995,98.508513,85.041893,8.897506,87.079785,83.084075,91.357546,81.640303
2016-02-24,91.782512,55.375778,39.264609,98.518944,84.986957,8.296063,87.662978,78.223607,84.660623,73.579935
2016-02-25,88.59637,55.762439,35.109288,91.375899,85.596133,7.839513,85.468222,69.293951,75.519214,71.854704
2016-02-26,88.899713,55.126389,50.119074,91.835484,86.298732,10.233546,78.51236,72.386847,77.873302,74.075617
2016-02-29,89.671383,46.868743,56.522741,76.770189,75.417594,17.005373,75.010714,74.322997,67.817657,76.086361
2016-03-01,90.322551,64.0511,62.413708,80.595606,72.272192,32.55593,77.322487,76.387496,73.011294,84.347971
2016-03-02,91.150969,68.663608,70.484603,82.841136,76.509351,43.974625,79.537476,84.270451,74.31022,78.634619
2016-03-03,91.586758,73.394098,72.841438,83.7242,76.334185,42.934322,81.911624,84.730341,79.564402,77.274028
2016-03-04,88.907167,70.119022,74.053806,83.815239,76.253554,44.695523,76.299767,86.258208,76.19349,74.354566
2016-03-07,88.907167,70.119022,74.053806,83.815239,76.253554,44.695523,76.299767,86.258208,76.19349,74.354566
2016-03-08,89.991769,69.371198,69.177098,81.012101,64.423395,42.47582,77.27857,78.152129,74.675598,76.143974
2016-03-09,90.69121,69.687183,72.43065,82.341524,67.643013,42.166885,78.590542,78.173995,76.867826,75.749438
2016-03-10,78.633437,67.414479,69.786274,69.7597,66.625342,41.612772,79.296519,73.573816,70.007334,71.422955
2016-03-11,78.910692,69.446858,72.089187,69.828675,69.889179,40.500223,79.699412,72.936252,69.881614,73.641587
2016-03-14,79.458712,66.736057,71.187341,69.216733,71.091817,47.628478,81.154391,73.939427,69.491675,75.140467
2016-03-15,79.540493,60.507626,70.485235,66.833979,63.096695,47.393339,82.007513,76.000606,68.512057,65.934213
2016-03-16,79.685662,59.825232,71.806197,69.805241,63.99026,51.715385,74.567896,75.818669,68.847893,68.621733
2016-03-17,80.368519,63.69497,62.176534,71.235161,65.468655,52.831094,75.777994,76.514849,70.249587,69.3719
2016-03-18,81.688129,72.205896,66.224599,75.489204,64.791504,54.869161,77.589794,79.255354,71.092827,69.904606
2016-03-21,82.810271,74.019032,71.812641,75.672843,72.236699,58.531414,81.512189,81.840169,74.765742,72.986518
2016-03-22,83.918826,76.218072,74.031934,73.710307,67.566629,57.188004,77.230522,82.142402,75.815285,64.213813
2016-03-23,74.742614,76.274387,70.759346,76.115715,68.366469,57.689984,80.203203,80.292163,76.421286,64.817349
2016-03-24,74.742614,76.274387,70.759346,76.115715,68.366469,57.689984,80.203203,80.292163,76.421286,64.817349
2016-03-25,74.742614,76.274387,70.759346,76.115715,68.366469,57.689984,80.203203,80.292163,76.421286,64.817349
2016-03-28,70.217709,76.145657,69.188954,74.728289,62.788888,47.537211,67.532143,63.751863,62.857528,62.657552
2016-03-29,73.347443,74.78509,71.508037,71.04933,61.432853,45.516135,70.354328,64.878402,58.994905,59.739733
2016-03-30,75.25558,77.008,75.082521,72.695646,61.611391,58.564814,69.386916,71.317938,65.308316,65.004793
2016-03-31,74.274638,79.928014,76.823758,74.879567,64.398615,57.668162,65.24626,65.977471,61.892478,65.598017
2016-04-01,68.67303,61.727355,71.045991,68.720547,63.326297,58.981015,49.100804,67.102934,65.520098,70.297724
2016-04-04,68.81441,64.032044,72.571207,75.247077,64.95288,59.35129,58.502439,65.519084,64.876884,63.854269
2016-04-05,64.577649,62.060302,63.488786,65.982875,62.444833,46.221281,45.906897,51.309638,53.623085,59.211332
2016-04-06,66.445396,64.697826,65.129733,59.66131,63.748568,43.800917,48.557441,50.737174,56.924867,58.617251
2016-04-07,67.398211,62.0071,60.77223,54.054916,56.082241,42.051534,46.561151,48.521739,50.246619,52.025633
2016-04-08,66.872401,53.622768,62.505695,49.911564,50.695041,43.08519,48.893523,49.946363,52.197142,53.551779
2016-04-11,68.050632,63.777231,67.207642,54.262416,57.117997,46.796473,57.108112,55.840105,56.355588,58.470451
2016-04-12,70.108563,65.047679,61.514077,53.791084,60.395712,50.848444,58.091293,55.228179,58.041493,53.572765
2016-04-13,74.715673,65.948046,68.328744,51.119099,68.391604,60.393274,58.724687,59.574942,60.321398,60.134794
2016-04-14,74.715673,65.948046,68.328744,51.119099,68.391604,60.393274,58.724687,59.574942,60.321398,60.134794
2016-04-15,74.715673,65.948046,68.328744,51.119099,68.391604,60.393274,58.724687,59.574942,60.321398,60.134794
2016-04-18,73.726368,64.290768,70.438214,65.842254,68.843657,56.371923,63.59474,51.700276,63.871697,63.182526
2016-04-19,73.726368,64.290768,70.438214,65.842254,68.843657,56.371923,63.59474,51.700276,63.871697,63.182526
2016-04-20,55.674085,48.942734,73.800175,66.705689,70.513301,57.22141,60.787936,52.478295,66.368616,63.261001
2016-04-21,57.254963,44.65013,68.229333,60.856466,70.472271,68.299871,61.190451,61.122962,61.425964,56.110978
2016-04-22,56.025346,43.486882,68.610091,56.236488,56.419064,66.99199,56.844511,66.518975,64.1283,51.430204
2016-04-25,45.482229,50.012872,69.049676,57.303428,56.388643,67.596562,61.044547,61.59789,64.210453,46.543475
2016-04-26,45.507236,56.15887,75.865186,60.937424,57.186269,68.320114,62.030953,65.096368,67.331778,52.94665
2016-04-27,46.796744,59.147499,78.434664,62.619103,60.335946,56.622687,69.327737,58.082863,65.525223,58.100053
2016-04-28,37.857456,61.364687,70.436951,53.08266,50.45183,52.052373,68.93308,52.845477,59.174354,48.245709
2016-04-29,33.59499,62.387905,75.304977,52.789472,46.18614,49.066821,59.454835,49.285199,57.418885,50.003552
2016-05-02,35.952518,60.430866,65.960223,50.761703,44.279021,40.888533,54.327443,46.002294,56.026702,46.828422
2016-05-03,32.675091,50.928484,66.068207,44.668149,38.644784,37.19074,60.927972,43.952882,56.219707,42.891942
2016-05-04,34.011417,50.910883,68.905465,47.871033,40.164332,33.366009,55.299064,39.925396,54.40019,40.450694
