Date,RELIANCE,TCS,HDFCBANK,INFY,HINDUNILVR,ICICIBANK,BHARTIARTL,SBIN,LT,ITC
2016-02-16,,,,,,,,,,
2016-02-17,0.023696,0.004414,0.001489,0.017328,0.011641,-0.029756,0.013479,0.016305,0.016712,0.014721
2016-02-18,-0.013122,0.01771,0.014925,0.023273,0.018276,0.028309,0.005164,0.005348,0.024233,0.018676
2016-02-19,0.004521,0.001641,-0.000152,0.003427,0.000242,0.01351,0.0151,0.030663,0.000739,-0.002946
2016-02-22,0.019008,-0.001617,-0.000556,-0.000532,0.041143,-0.00176,0.009354,0.001518,-0.000652,-0.015433
2016-02-23,-0.013145,-0.02241,-0.018913,-0.002441,-0.028782,-0.032502,-0.023701,-0.039103,-0.017047,-0.020177
2016-02-24,0.003159,-0.023432,-0.021081,0.00129,-0.000119,-0.026042,0.008248,-0.01388,-0.015263,-0.021103
2016-02-25,-0.008975,0.000859,-0.007319,-0.013374,0.00723,-0.02139,-0.004321,-0.028791,-0.023767,-0.004868
2016-02-26,0.00662,-0.001062,0.019466,0.009772,0.008424,0.009836,-0.014261,0.027009,0.022275,0.016597
2016-02-29,0.017152,-0.015245,0.01129,-0.033091,-0.022944,0.028409,-0.007706,0.018281,-0.031198,0.016154
2016-03-01,0.015155,0.04587,0.012656,0.03819,-0.007527,0.0784,0.016482,0.020787,0.044563,0.100457
2016-03-02,0.020585,0.018536,0.023421,0.027145,0.030456,0.073433,0.017618,0.117865,0.012412,-0.017827
2016-03-03,0.011333,0.023417,0.008588,0.011505,-0.000412,-0.009091,0.021603,0.008833,0.060814,-0.004381
2016-03-04,-0.006368,-0.006574,0.004627,0.001154,-0.000177,0.011468,-0.012447,0.030916,-0.011515,-0.009272
2016-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-08,0.020469,-0.001378,-0.006271,-0.00615,-0.026509,-0.016553,0.006834,-0.026805,-0.004819,0.016022
2016-03-09,0.014313,0.001253,0.010501,0.012936,0.016218,-0.002306,0.009351,0.000273,0.02139,-0.001093
2016-03-10,-0.028751,-0.003797,-0.003464,-0.030547,-0.002501,-0.003929,0.005081,-0.015812,-0.022014,-0.011879
2016-03-11,0.002718,0.007218,0.007295,0.000438,0.016775,-0.007657,0.002825,-0.002216,-0.000421,0.01645
2016-03-14,0.005175,-0.004334,-0.001118,-0.001575,0.006517,0.036474,0.010378,0.009162,-0.001223,0.011671
2016-03-15,0.000735,-0.010659,-0.000827,-0.005959,-0.019075,-0.001353,0.00631,0.019532,-0.002914,-0.026304
2016-03-16,0.001225,-0.001223,0.003652,0.015911,0.003984,0.022814,-0.012832,-0.00054,0.002075,0.017536
2016-03-17,0.005568,0.010743,-0.011694,0.00807,0.006515,0.005963,0.006647,0.006209,0.008494,0.004968
2016-03-18,0.011024,0.031377,0.009819,0.027243,-0.00153,0.010757,0.010418,0.026295,0.00507,0.003399
2016-03-21,0.009832,0.008409,0.016725,0.001257,0.036895,0.0202,0.027157,0.02902,0.024056,0.020631
2016-03-22,0.010171,0.010976,0.00789,-0.004143,-0.0108,-0.005322,-0.007776,0.003557,0.00745,-0.025041
