Ticker,Day,Price
RELIANCE,1,1426.52
RELIANCE,2,1426.23
RELIANCE,3,1425.31
RELIANCE,4,1424.2
RELIANCE,5,1423.13
RELIANCE,6,1422.19
RELIANCE,7,1421.43
RELIANCE,8,1420.83
RELIANCE,9,1420.38
RELIANCE,10,1420.03
RELIANCE,11,1419.78
RELIANCE,12,1419.58
RELIANCE,13,1419.43
RELIANCE,14,1419.3
RELIANCE,15,1419.18
RELIANCE,16,1419.07
RELIANCE,17,1418.96
RELIANCE,18,1418.85
RELIANCE,19,1418.73
RELIANCE,20,1418.61
RELIANCE,21,1418.48
RELIANCE,22,1418.35
RELIANCE,23,1418.21
RELIANCE,24,1418.07
RELIANCE,25,1417.93
RELIANCE,26,1417.78
RELIANCE,27,1417.63
RELIANCE,28,1417.48
RELIANCE,29,1417.33
RELIANCE,30,1417.18
TCS,1,2839.12
TCS,2,2807.57
TCS,3,2778.26
TCS,4,2751.69
TCS,5,2727.96
TCS,6,2706.97
TCS,7,2688.45
TCS,8,2672.11
TCS,9,2657.62
TCS,10,2644.68
TCS,11,2633.01
TCS,12,2622.37
TCS,13,2612.56
TCS,14,2603.43
TCS,15,2594.84
TCS,16,2586.68
TCS,17,2578.88
TCS,18,2571.39
TCS,19,2564.14
TCS,20,2557.1
TCS,21,2550.26
TCS,22,2543.59
TCS,23,2537.07
TCS,24,2530.7
TCS,25,2524.46
TCS,26,2518.34
TCS,27,2512.34
TCS,28,2506.46
TCS,29,2500.68
TCS,30,2495.0
HDFCBANK,1,867.16
HDFCBANK,2,863.1
HDFCBANK,3,858.45
HDFCBANK,4,853.39
HDFCBANK,5,848.07
HDFCBANK,6,842.62
HDFCBANK,7,837.13
HDFCBANK,8,831.65
HDFCBANK,9,826.61
HDFCBANK,10,821.84
HDFCBANK,11,817.14
HDFCBANK,12,812.51
HDFCBANK,13,807.99
HDFCBANK,14,803.56
HDFCBANK,15,799.24
HDFCBANK,16,795.03
HDFCBANK,17,790.91
HDFCBANK,18,786.9
HDFCBANK,19,782.98
HDFCBANK,20,779.15
HDFCBANK,21,775.4
HDFCBANK,22,771.74
HDFCBANK,23,768.15
HDFCBANK,24,764.64
HDFCBANK,25,761.2
HDFCBANK,26,757.82
HDFCBANK,27,754.51
HDFCBANK,28,751.26
HDFCBANK,29,748.07
HDFCBANK,30,744.94
