Ticker,actual,predicted
RELIANCE,1508.5251,1471.5823
RELIANCE,1487.0359,1473.1013
RELIANCE,1458.9978,1473.0998
RELIANCE,1456.6323,1470.0114
RELIANCE,1455.7111,1464.4827
RELIANCE,1445.726,1457.6132
RELIANCE,1473.9133,1449.5239
RELIANCE,1466.7668,1442.9782
RELIANCE,1465.4969,1437.3895
RELIANCE,1466.4432,1432.896
RELIANCE,1457.6283,1429.4423
RELIANCE,1463.8286,1426.301
RELIANCE,1480.014,1424.1917
RELIANCE,1487.4343,1424.0085
RELIANCE,1483.4502,1425.5135
RELIANCE,1488.007,1427.7311
RELIANCE,1491.9911,1430.4502
RELIANCE,1520.1039,1433.4598
RELIANCE,1470.7012,1438.1745
RELIANCE,1458.9978,1441.1018
RELIANCE,1458.9978,1441.4867
RELIANCE,1401.3781,1440.094
RELIANCE,1381.0094,1432.984
RELIANCE,1365.2722,1422.1012
RELIANCE,1391.7913,1409.4413
RELIANCE,1369.1318,1398.6992
RELIANCE,1365.5959,1388.2976
RELIANCE,1366.6417,1379.4142
RELIANCE,1367.0651,1372.1673
RELIANCE,1338.6785,1366.9907
RELIANCE,1348.6885,1361.9572
RELIANCE,1351.0292,1358.219
RELIANCE,1353.8927,1355.6238
RELIANCE,1363.7533,1354.0702
RELIANCE,1338.0061,1353.5129
RELIANCE,1333.2003,1352.0424
RELIANCE,1334.4703,1350.2962
RELIANCE,1322.5677,1348.4136
RELIANCE,1329.0419,1345.7182
RELIANCE,1334.6694,1342.9688
RELIANCE,1338.554,1340.5793
RELIANCE,1326.7511,1338.528
RELIANCE,1333.3248,1335.7273
RELIANCE,1296.9701,1333.1641
RELIANCE,1300.1075,1327.6756
RELIANCE,1320.0778,1321.1673
RELIANCE,1300.4562,1316.0843
RELIANCE,1278.6432,1310.6107
RELIANCE,1267.6371,1303.5276
RELIANCE,1269.181,1295.2847
RELIANCE,1247.0693,1287.4597
RELIANCE,1262.5575,1279.1471
RELIANCE,1262.5575,1272.6332
RELIANCE,1255.7347,1267.5419
RELIANCE,1236.7107,1263.5213
RELIANCE,1236.7107,1259.135
RELIANCE,1218.1349,1254.9899
RELIANCE,1260.3662,1250.2143
RELIANCE,1281.8802,1247.6852
RELIANCE,1290.5457,1247.5873
RELIANCE,1288.0555,1249.6532
RELIANCE,1265.7448,1252.9404
RELIANCE,1287.0596,1255.3163
RELIANCE,1303.9423,1258.2633
RELIANCE,1318.0359,1262.5305
RELIANCE,1303.7429,1268.2785
RELIANCE,1316.7909,1273.9296
RELIANCE,1306.3326,1279.5788
RELIANCE,1289.9979,1284.0443
RELIANCE,1279.7388,1286.4775
RELIANCE,1273.1152,1286.7529
RELIANCE,1257.8762,1285.206
RELIANCE,1267.7866,1281.6793
RELIANCE,1263.2548,1277.4379
RELIANCE,1240.3462,1272.7985
RELIANCE,1248.2645,1266.477
RELIANCE,1225.5552,1259.8992
RELIANCE,1200.5054,1251.4005
RELIANCE,1217.4377,1240.8803
RELIANCE,1217.8859,1231.4771
RELIANCE,1217.8859,1223.6612
RELIANCE,1211.7106,1217.7118
RELIANCE,1216.1927,1213.0792
RELIANCE,1205.8838,1209.8419
RELIANCE,1210.6149,1207.1888
RELIANCE,1216.3918,1205.539
RELIANCE,1236.8601,1204.7786
RELIANCE,1246.173,1205.7848
RELIANCE,1213.1548,1208.5677
RELIANCE,1235.9138,1209.9021
RELIANCE,1260.4658,1211.6882
RELIANCE,1249.7585,1215.6353
RELIANCE,1236.9597,1220.383
RELIANCE,1234.9178,1224.2425
RELIANCE,1233.8223,1227.073
RELIANCE,1247.2186,1228.931
RELIANCE,1261.412,1231.1391
RELIANCE,1297.1692,1234.4072
RELIANCE,1300.2568,1239.6985
RELIANCE,1268.6332,1245.9803
RELIANCE,1272.0197,1250.6951
RELIANCE,1258.6232,1253.6616
RELIANCE,1241.3423,1254.7923
RELIANCE,1224.4596,1253.6165
RELIANCE,1229.4896,1249.5058
RELIANCE,1230.5852,1243.7952
RELIANCE,1248.0654,1237.3628
RELIANCE,1260.0674,1232.1872
RELIANCE,1240.9438,1229.1424
RELIANCE,1280.0874,1226.4302
RELIANCE,1273.1152,1226.9521
RELIANCE,1276.452,1229.3628
RELIANCE,1261.661,1232.99
RELIANCE,1248.663,1236.0411
RELIANCE,1229.9377,1237.2883
RELIANCE,1211.7106,1235.391
RELIANCE,1211.2623,1230.0709
RELIANCE,1212.4077,1223.1307
RELIANCE,1220.0273,1215.9891
RELIANCE,1220.5254,1210.0925
RELIANCE,1222.5671,1205.4365
RELIANCE,1228.0951,1202.3823
RELIANCE,1223.2644,1201.0681
RELIANCE,1209.7185,1200.7669
RELIANCE,1199.2104,1200.0804
RELIANCE,1199.2104,1198.431
RELIANCE,1202.2981,1196.4155
RELIANCE,1195.3259,1194.5343
RELIANCE,1166.5907,1192.5413
RELIANCE,1157.278,1188.609
RELIANCE,1170.9235,1183.3829
RELIANCE,1204.7882,1178.5145
RELIANCE,1244.8284,1176.2809
RELIANCE,1233.4736,1178.8689
RELIANCE,1242.3383,1184.0394
RELIANCE,1252.0494,1190.7905
RELIANCE,1242.9359,1198.2632
RELIANCE,1242.9359,1205.0931
RELIANCE,1233.9218,1210.7975
RELIANCE,1233.9218,1214.9845
RELIANCE,1242.1888,1217.7679
RELIANCE,1264.1013,1219.5212
RELIANCE,1271.2726,1221.2621
RELIANCE,1296.9202,1223.1978
RELIANCE,1280.3364,1226.1044
RELIANCE,1267.9858,1229.2016
RELIANCE,1273.1152,1231.8227
RELIANCE,1270.0276,1234.0382
RELIANCE,1270.0276,1235.7545
RELIANCE,1247.6171,1237.0347
RELIANCE,1246.173,1236.9341
RELIANCE,1243.7327,1235.3588
RELIANCE,1199.9076,1232.2934
RELIANCE,1161.0627,1225.0029
RELIANCE,1177.4972,1213.1688
RELIANCE,1180.6346,1201.504
RELIANCE,1180.6346,1191.3633
RELIANCE,1214.101,1183.3098
RELIANCE,1214.101,1179.0089
RELIANCE,1235.1669,1177.3234
RELIANCE,1234.3701,1178.6842
RELIANCE,1269.4301,1181.7221
RELIANCE,1269.4301,1187.3818
RELIANCE,1290.3464,1194.5353
RELIANCE,1286.0636,1203.1342
RELIANCE,1294.8286,1211.6321
RELIANCE,1296.4222,1219.6428
RELIANCE,1295.2271,1226.7069
RELIANCE,1363.355,1232.4911
RELIANCE,1394.132,1239.1186
RELIANCE,1399.4109,1246.867
RELIANCE,1399.4109,1255.1116
RELIANCE,1414.1521,1262.895
RELIANCE,1425.6063,1270.3505
RELIANCE,1415.2477,1277.5243
RELIANCE,1400.4069,1284.4364
RELIANCE,1401.403,1290.9197
RELIANCE,1371.7214,1296.7591
RELIANCE,1430.7855,1301.5984
RELIANCE,1410.0682,1307.102
RELIANCE,1418.7338,1312.4358
RELIANCE,1448.4152,1318.3821
RELIANCE,1450.6064,1325.3904
RELIANCE,1435.0685,1333.0259
RELIANCE,1418.9329,1340.5999
RELIANCE,1423.5145,1347.3082
RELIANCE,1403.7935,1353.2154
RELIANCE,1421.1243,1357.2479
RELIANCE,1429.0924,1360.9017
RELIANCE,1416.4429,1364.2025
RELIANCE,1407.2795,1366.5509
RELIANCE,1412.16,1367.1374
RELIANCE,1415.2477,1366.8281
RELIANCE,1408.0763,1366.4888
RELIANCE,1399.9089,1365.8917
RELIANCE,1417.8373,1364.5599
RELIANCE,1436.6621,1364.3203
RELIANCE,1437.7577,1366.6176
RELIANCE,1443.0367,1370.6045
RELIANCE,1432.7776,1375.9614
RELIANCE,1443.1362,1380.9496
RELIANCE,1435.8652,1385.9294
RELIANCE,1422.2198,1390.2579
RELIANCE,1432.0804,1392.7743
RELIANCE,1425.5066,1394.8278
RELIANCE,1424.411,1396.0628
RELIANCE,1427.5984,1396.323
RELIANCE,1460.3674,1396.1148
RELIANCE,1451.0049,1398.5187
RELIANCE,1445.0287,1402.3285
RELIANCE,1461.4631,1405.9323
RELIANCE,1489.3517,1409.8513
RELIANCE,1509.3717,1415.2011
RELIANCE,1494.6306,1421.6667
RELIANCE,1522.3201,1427.6728
RELIANCE,1512.7583,1433.7603
RELIANCE,1511.7622,1439.1028
RELIANCE,1521.2245,1443.4481
RELIANCE,1535.3679,1446.8017
RELIANCE,1531.4834,1449.8206
RELIANCE,1512.9574,1452.3621
RELIANCE,1511.1646,1454.0529
RELIANCE,1489.2521,1454.8888
RELIANCE,1477.7977,1454.426
RELIANCE,1479.4911,1452.9019
RELIANCE,1479.6902,1450.5011
RELIANCE,1470.5269,1447.6342
RELIANCE,1470.1284,1443.9694
RELIANCE,1422.917,1439.8649
RELIANCE,1407.1799,1432.6012
RELIANCE,1418.9329,1423.4399
RELIANCE,1397.3192,1414.7673
RELIANCE,1386.1637,1405.8859
RELIANCE,1382.0801,1397.7246
RELIANCE,1411.4628,1390.6444
RELIANCE,1404.4906,1386.0522
RELIANCE,1384.6697,1382.6573
RELIANCE,1388.1558,1379.6469
RELIANCE,1405.885,1377.533
RELIANCE,1386.1637,1376.8897
RELIANCE,1387.2595,1375.9635
RELIANCE,1383.8729,1375.1651
RELIANCE,1362.3589,1374.2798
RELIANCE,1380.6857,1372.1106
RELIANCE,1374.9088,1370.2591
RELIANCE,1377.1,1368.0428
RELIANCE,1373.8,1366.1024
RELIANCE,1373.8,1364.224
RELIANCE,1381.7,1362.2391
RELIANCE,1420.1,1360.9724
RELIANCE,1413.0,1363.8859
RELIANCE,1424.8,1369.2411
RELIANCE,1409.2,1376.0763
RELIANCE,1412.6,1382.178
RELIANCE,1384.9,1387.008
RELIANCE,1384.9,1388.7016
RELIANCE,1385.9,1387.9566
RELIANCE,1357.2,1385.8106
RELIANCE,1353.9,1380.4908
RELIANCE,1366.5,1373.2248
RELIANCE,1372.6,1366.1245
RELIANCE,1359.3,1360.4571
RELIANCE,1375.0,1355.1396
RELIANCE,1378.5,1351.5276
RELIANCE,1376.2,1349.4581
RELIANCE,1377.0,1348.5433
RELIANCE,1383.3,1348.2621
RELIANCE,1395.0,1348.7006
RELIANCE,1399.3,1350.3327
RELIANCE,1405.3,1352.7688
RELIANCE,1413.8,1355.8876
RELIANCE,1415.0,1359.7494
RELIANCE,1407.4,1364.143
RELIANCE,1390.6,1368.2535
RELIANCE,1389.8,1371.0127
RELIANCE,1383.0,1372.4952
RELIANCE,1372.4,1372.6057
RELIANCE,1377.6,1371.0293
RELIANCE,1372.8,1368.5631
RELIANCE,1364.0,1365.1944
RELIANCE,1368.7,1360.6697
RELIANCE,1368.7,1355.9495
RELIANCE,1363.4,1351.4241
RELIANCE,1375.0,1346.975
RELIANCE,1384.8,1343.8112
RELIANCE,1367.4,1342.4387
RELIANCE,1377.8,1340.8225
RELIANCE,1381.7,1339.8023
RELIANCE,1375.0,1339.5935
RELIANCE,1375.9,1339.4605
RELIANCE,1374.3,1339.4616
RELIANCE,1398.3,1339.4345
RELIANCE,1416.8,1341.9956
RELIANCE,1466.8,1347.9546
RELIANCE,1465.2,1356.6697
RELIANCE,1465.2,1365.4528
RELIANCE,1448.4,1373.1114
RELIANCE,1451.6,1379.062
RELIANCE,1484.1,1383.5086
RELIANCE,1486.9,1387.5994
RELIANCE,1504.2,1391.2505
RELIANCE,1488.5,1394.9082
RELIANCE,1486.4,1398.127
RELIANCE,1484.7,1400.9254
RELIANCE,1473.1,1403.0557
RELIANCE,1473.1,1404.8273
RELIANCE,1496.1,1406.3884
RELIANCE,1478.0,1408.4562
RELIANCE,1489.3,1410.423
RELIANCE,1493.4,1412.6483
RELIANCE,1511.5,1415.0158
RELIANCE,1510.9,1418.3526
RELIANCE,1518.9,1422.4982
RELIANCE,1518.3,1427.6257
RELIANCE,1519.4,1432.9229
RELIANCE,1518.9,1437.8561
RELIANCE,1549.1,1442.0322
RELIANCE,1546.6,1446.6922
RELIANCE,1535.9,1451.5911
RELIANCE,1539.7,1456.0227
RELIANCE,1569.9,1459.7416
RELIANCE,1563.4,1463.8369
RELIANCE,1567.5,1467.9745
RELIANCE,1566.1,1471.9482
RELIANCE,1546.3,1475.4821
RELIANCE,1538.8,1478.2952
RELIANCE,1535.6,1480.2214
RELIANCE,1540.6,1481.0852
RELIANCE,1543.0,1481.4569
RELIANCE,1529.4,1481.6438
RELIANCE,1536.9,1480.8535
RELIANCE,1545.0,1479.6677
RELIANCE,1556.5,1478.9918
RELIANCE,1556.2,1479.6284
RELIANCE,1542.3,1481.1464
RELIANCE,1544.4,1482.1359
RELIANCE,1544.4,1482.4419
RELIANCE,1565.1,1482.3179
RELIANCE,1575.4,1483.9461
RELIANCE,1570.7,1487.6011
RELIANCE,1558.2,1491.966
RELIANCE,1558.2,1495.5042
RELIANCE,1559.2,1498.0713
RELIANCE,1545.6,1500.0439
RELIANCE,1539.8,1500.6762
RELIANCE,1570.4,1499.7128
RELIANCE,1575.6,1500.4324
RELIANCE,1592.3,1503.0846
RELIANCE,1578.1,1507.3758
RELIANCE,1507.6,1511.6621
RELIANCE,1504.2,1509.8896
RELIANCE,1470.6,1503.8581
RELIANCE,1475.3,1493.7273
RELIANCE,1483.2,1483.2013
RELIANCE,1452.8,1473.879
RELIANCE,1458.8,1464.2801
RELIANCE,1458.8,1456.0382
RELIANCE,1457.9,1449.2287
RELIANCE,1413.6,1444.027
RELIANCE,1394.0,1437.9303
RELIANCE,1404.6,1431.6954
RELIANCE,1402.5,1426.1645
RELIANCE,1386.1,1421.2431
RELIANCE,1386.1,1416.1769
RELIANCE,1380.5,1411.5818
RELIANCE,1396.7,1407.3848
RELIANCE,1391.0,1404.2428
RELIANCE,1395.4,1401.4533
RELIANCE,1390.4,1399.4138
RELIANCE,1437.1,1397.698
RELIANCE,1456.8,1398.227
RELIANCE,1443.4,1400.7825
RELIANCE,1450.8,1404.0656
RELIANCE,1461.6,1407.996
RELIANCE,1458.5,1412.5387
RELIANCE,1468.7,1417.1098
RELIANCE,1448.9,1421.6745
RELIANCE,1419.6,1425.2476
TCS,4241.0474,3797.5816
TCS,4237.9229,3801.0
TCS,4219.7437,3802.484
TCS,4212.9268,3801.1704
TCS,4268.127,3798.1169
TCS,4241.1421,3798.0842
TCS,4277.4526,3795.9315
TCS,4282.0923,3797.3559
TCS,4273.2397,3800.764
TCS,4266.0435,3804.2746
TCS,4115.0254,3807.0495
TCS,4067.6838,3792.3872
TCS,4057.0327,3770.0807
TCS,4041.5044,3744.8088
TCS,4044.1558,3719.3226
TCS,4047.4224,3696.7368
TCS,4064.2283,3677.9142
TCS,4079.5671,3664.5286
TCS,4041.5044,3656.7687
TCS,4059.8733,3649.9897
TCS,4059.8733,3647.2198
TCS,4007.6565,3646.2048
TCS,4026.1194,3642.8738
TCS,4045.6235,3641.3785
TCS,4027.0659,3642.1012
TCS,4026.7817,3642.4203
TCS,4002.5903,3643.1272
TCS,3928.5493,3642.0661
TCS,3916.6665,3634.5337
TCS,3897.8718,3623.5494
TCS,3877.1843,3608.4988
TCS,3890.4868,3591.1536
TCS,3913.3132,3575.998
TCS,3872.311,3565.8968
TCS,3811.2344,3555.5303
TCS,3859.4031,3542.2149
TCS,3841.9863,3534.2566
TCS,3851.1455,3527.2808
TCS,3882.7515,3522.9001
TCS,3867.9451,3523.3399
TCS,3876.8667,3524.556
TCS,3766.5776,3528.0063
TCS,3781.5266,3522.6686
TCS,3762.4963,3516.7171
TCS,3769.3303,3508.0904
TCS,3929.0688,3499.62
TCS,3939.7466,3507.6506
TCS,3936.0452,3522.3293
TCS,3985.1152,3539.9439
TCS,3983.8809,3562.0134
TCS,3939.2249,3583.2461
TCS,3935.0007,3598.7808
TCS,3935.0007,3610.0553
TCS,3815.031,3618.0667
TCS,3834.061,3613.0126
TCS,3834.061,3604.8427
TCS,3865.667,3594.4011
TCS,4028.6807,3585.911
TCS,4095.594,3590.8895
TCS,4131.2822,3603.8266
TCS,4112.1562,3621.395
TCS,4028.9651,3638.1619
