Date,close,ret,ma20_rel,vol30,rsi,mom10,macd_hist,bb_pctb,ticker,target
2016-03-29,227.066818,0.015533,0.01932,0.012484,0.733474,0.026867,-0.00034,0.802383,RELIANCE,0
2016-03-30,229.433365,0.010422,0.02708,0.011988,0.752556,0.0363,0.000277,0.921807,RELIANCE,0
2016-03-31,229.027985,-0.001767,0.023076,0.011616,0.742746,0.02874,0.000429,0.851709,RELIANCE,1
2016-04-01,226.672394,-0.010285,0.010612,0.011903,0.68673,0.007058,-0.000228,0.672211,RELIANCE,0
2016-04-04,226.803879,0.00058,0.009233,0.011544,0.688144,-0.002169,-0.00071,0.663771,RELIANCE,1
2016-04-05,225.028976,-0.007826,0.00078,0.011329,0.645776,-0.019946,-0.00157,0.514022,RELIANCE,0
2016-04-06,226.519028,0.006622,0.007227,0.011347,0.664454,0.004421,-0.001721,0.629326,RELIANCE,1
2016-04-07,227.285934,0.003386,0.008831,0.011113,0.673982,0.007821,-0.001626,0.672491,RELIANCE,1
2016-04-08,227.088745,-0.000868,0.006333,0.011127,0.668724,0.006947,-0.00164,0.637322,RELIANCE,1
2016-04-11,227.954285,0.003811,0.008606,0.010817,0.680506,0.019502,-0.001421,0.702668,RELIANCE,1
2016-04-12,229.510056,0.006825,0.01361,0.010596,0.701086,0.01076,-0.000883,0.845852,RELIANCE,1
2016-04-13,233.596725,0.017806,0.028887,0.010445,0.747157,0.018146,0.00049,1.172584,RELIANCE,1
2016-04-14,233.596725,0.0,0.026408,0.010319,0.747157,0.019948,0.001223,1.07337,RELIANCE,1
2016-04-15,233.596725,0.0,0.024492,0.010203,0.747157,0.030548,0.001525,0.986129,RELIANCE,1
2016-04-18,233.311859,-0.001219,0.021894,0.010215,0.737264,0.028694,0.001463,0.903261,RELIANCE,1
2016-04-19,233.311859,0.0,0.021066,0.009626,0.737264,0.036808,0.001246,0.86628,RELIANCE,1
2016-04-20,227.296906,-0.025781,-0.005644,0.010543,0.556741,0.003434,-0.000681,0.399969,RELIANCE,1
